"Date","Price","Open","High","Low","Vol.","Change %"
"11/13/2023","1,970.20","1,963.20","1,973.50","1,955.40","54.17K","0.64%"
"11/10/2023","1,957.70","1,984.30","1,985.70","1,956.90","66.10K","-1.62%"
"11/09/2023","1,989.90","1,976.70","1,991.60","1,968.50","44.13K","0.60%"
"11/08/2023","1,978.10","1,995.10","1,997.60","1,973.60","53.12K","-0.79%"
"11/07/2023","1,993.80","2,005.00","2,005.10","1,983.30","61.96K","-0.76%"
"11/06/2023","2,009.00","2,019.60","2,020.00","2,004.80","13.86K","-0.52%"
"11/03/2023","2,019.60","2,013.90","2,032.20","2,009.80","11.67K","0.28%"
"11/02/2023","2,013.90","2,011.30","2,019.10","2,007.00","12.16K","0.30%"
"11/01/2023","2,007.80","2,013.40","2,026.00","1,998.80","14.00K","-0.34%"
"10/31/2023","2,014.60","2,026.30","2,037.70","2,008.00","9.46K","-0.56%"
"10/30/2023","2,026.00","2,034.00","2,036.90","2,020.10","7.63K","0.36%"
"10/27/2023","2,018.70","2,014.80","2,039.70","2,006.70","11.82K","0.05%"
"10/26/2023","2,017.60","2,011.20","2,023.30","2,001.90","11.77K","0.13%"
"10/25/2023","2,015.00","2,002.20","2,018.50","1,993.60","11.46K","0.44%"
"10/24/2023","2,006.10","2,004.30","2,011.60","1,984.80","8.52K","-0.08%"
"10/23/2023","2,007.80","2,007.80","2,014.00","1,992.80","9.13K","-0.33%"
"10/20/2023","2,014.50","2,007.80","2,029.20","2,003.80","14.06K","0.71%"
"10/19/2023","2,000.20","1,980.00","2,010.00","1,977.10","8.17K","0.61%"
"10/18/2023","1,988.10","1,956.10","1,995.40","1,956.10","9.37K","1.67%"
"10/17/2023","1,955.40","1,952.30","1,963.90","1,944.50","5.99K","0.08%"
"10/16/2023","1,953.90","1,961.00","1,962.10","1,941.00","5.61K","-0.37%"
"10/13/2023","1,961.10","1,901.50","1,965.60","1,901.50","16.99K","3.08%"
"10/12/2023","1,902.50","1,907.70","1,916.60","1,900.30","5.59K","-0.23%"
"10/11/2023","1,906.80","1,892.80","1,910.20","1,891.30","9.77K","0.64%"
"10/10/2023","1,894.60","1,893.90","1,898.00","1,885.40","7.70K","0.59%"
"10/09/2023","1,883.50","1,880.00","1,896.30","1,876.80","8.08K","1.02%"
"10/06/2023","1,864.40","1,853.30","1,867.80","1,842.50","10.60K","0.73%"
"10/05/2023","1,850.80","1,855.30","1,861.70","1,845.30","5.67K","-0.16%"
"10/04/2023","1,853.80","1,858.60","1,865.70","1,850.70","6.32K","-0.37%"
"10/03/2023","1,860.70","1,863.90","1,868.20","1,850.20","6.53K","-0.31%"
"10/02/2023","1,866.40","1,883.30","1,883.70","1,862.00","5.00K","-1.01%"
"09/29/2023","1,885.40","1,902.30","1,915.90","1,881.50","5.68K","-0.66%"
"09/28/2023","1,898.00","1,913.60","1,915.80","1,894.00","5.36K","0.38%"
"09/27/2023","1,890.90","1,918.80","1,921.70","1,890.30","238.53K","-1.51%"
"09/26/2023","1,919.80","1,935.10","1,935.50","1,917.20","212.26K","-0.87%"
"09/25/2023","1,936.60","1,944.70","1,946.80","1,933.80","164.26K","-0.46%"
"09/22/2023","1,945.60","1,939.60","1,949.10","1,939.60","139.93K","0.31%"
"09/21/2023","1,939.60","1,952.00","1,952.20","1,933.10","225.91K","-1.40%"
"09/20/2023","1,967.10","1,953.00","1,968.90","1,948.60","220.98K","0.69%"
"09/19/2023","1,953.70","1,955.30","1,958.90","1,950.90","131.10K","0.02%"
"09/18/2023","1,953.40","1,945.70","1,955.70","1,943.80","138.03K","0.37%"
"09/15/2023","1,946.20","1,932.50","1,952.40","1,931.20","199.77K","0.69%"
"09/14/2023","1,932.80","1,930.70","1,934.50","1,921.70","201.74K","0.02%"
"09/13/2023","1,932.50","1,935.20","1,938.40","1,927.20","161.00K","-0.13%"
"09/12/2023","1,935.10","1,945.60","1,947.50","1,929.90","161.99K","-0.62%"
"09/11/2023","1,947.20","1,943.30","1,954.60","1,939.50","131.08K","0.23%"
"09/08/2023","1,942.70","1,943.80","1,954.00","1,940.80","138.69K","0.01%"
"09/07/2023","1,942.50","1,942.20","1,947.90","1,940.30","117.17K","-0.09%"
"09/06/2023","1,944.20","1,951.50","1,954.50","1,940.00","148.78K","-0.43%"
"09/05/2023","1,952.60","1,966.70","1,972.60","1,950.60","192.79K","0.00%"
"09/04/2023","1,952.60","1,966.70","1,972.60","1,950.60","192.79K","-0.74%"
"09/01/2023","1,967.10","1,966.40","1,980.20","1,960.70","160.73K","0.06%"
"08/31/2023","1,965.90","1,970.20","1,974.90","1,965.50","133.71K","-0.36%"
"08/30/2023","1,973.00","1,966.00","1,977.10","1,962.80","142.38K","0.40%"
"08/29/2023","1,965.10","1,948.10","1,966.50","1,941.70","174.22K","0.94%"
"08/28/2023","1,946.80","1,944.00","1,954.20","1,940.10","115.55K","0.36%"
"08/25/2023","1,939.90","1,944.90","1,950.40","1,931.00","166.99K","-0.37%"
"08/24/2023","1,947.10","1,944.90","1,951.30","1,939.20","137.39K","-0.05%"
"08/23/2023","1,948.10","1,926.80","1,949.70","1,926.20","170.04K","1.15%"
"08/22/2023","1,926.00","1,924.00","1,933.20","1,917.50","131.09K","0.16%"
"08/21/2023","1,923.00","1,918.40","1,927.90","1,913.60","138.11K","0.34%"
"08/18/2023","1,916.50","1,919.20","1,926.00","1,915.90","114.74K","0.07%"
"08/17/2023","1,915.20","1,922.40","1,933.50","1,914.20","152.33K","-0.68%"
"08/16/2023","1,928.30","1,933.10","1,938.20","1,922.00","128.61K","-0.36%"
"08/15/2023","1,935.20","1,939.40","1,944.30","1,927.50","167.15K","-0.45%"
"08/14/2023","1,944.00","1,945.60","1,948.20","1,934.20","120.98K","-0.13%"
"08/11/2023","1,946.60","1,944.90","1,953.60","1,942.70","122.32K","-0.12%"
"08/10/2023","1,948.90","1,947.70","1,963.50","1,944.40","168.26K","-0.09%"
"08/09/2023","1,950.60","1,959.30","1,966.10","1,947.20","139.26K","-0.47%"
"08/08/2023","1,959.90","1,971.50","1,972.80","1,956.50","142.34K","-0.51%"
"08/07/2023","1,970.00","1,977.60","1,981.70","1,966.10","104.41K","-0.31%"
"08/04/2023","1,976.10","1,969.60","1,984.20","1,954.50","156.42K","0.37%"
"08/03/2023","1,968.80","1,970.80","1,974.50","1,964.50","141.35K","-0.31%"
"08/02/2023","1,975.00","1,988.90","1,992.20","1,969.10","169.66K","-0.19%"
"08/01/2023","1,978.80","2,004.20","2,004.40","1,978.30","167.76K","-1.51%"
"07/31/2023","2,009.20","1,997.90","2,010.90","1,986.70","139.96K","0.47%"
"07/28/2023","1,999.90","1,985.30","2,002.00","1,983.90","159.60K","1.76%"
"07/27/2023","1,965.30","1,991.80","2,002.00","1,961.40","16.91K","-1.23%"
"07/26/2023","1,989.70","1,985.90","1,999.30","1,982.80","11.94K","0.33%"
"07/25/2023","1,983.10","1,976.10","1,986.20","1,971.10","8.63K","0.08%"
"07/24/2023","1,981.60","1,983.20","1,988.70","1,974.70","6.44K","-0.21%"
"07/21/2023","1,985.80","1,991.90","1,995.00","1,978.50","3.03K","-0.22%"
"07/20/2023","1,990.20","1,998.70","2,008.50","1,987.10","3.48K","-0.49%"
"07/19/2023","1,999.90","2,001.50","2,003.40","1,992.60","3.73K","0.00%"
"07/18/2023","1,999.80","1,977.70","2,006.80","1,977.70","6.09K","1.23%"
"07/17/2023","1,975.50","1,977.20","1,982.50","1,968.50","2.11K","-0.40%"
"07/14/2023","1,983.40","1,984.40","1,986.70","1,974.50","3.78K","0.03%"
"07/13/2023","1,982.90","1,981.10","1,987.20","1,976.20","1.91K","0.11%"
